FINOPB,2024-08-16,351,359.95,346.55,358.3,190073
HEIDELBERG,2024-08-16,216.5,221.03,216.46,219.93,202832
IVP,2024-08-16,186,188.9,181.7,182.1,5105
MTNL,2024-08-16,63.25,64.43,59,59.5,20484748
SURYALAXMI,2024-08-16,88.38,91.8,87.02,89.86,58926
TITAGARH,2024-08-16,1434.7,1438,1398.05,1427.95,725671
AGSTRA,2024-08-16,89.85,92.19,88.59,90.73,434010
DNAMEDIA,2024-08-16,7.88,7.88,7.88,7.88,21162
KARURVYSYA,2024-08-16,213.5,217.79,213.1,216.99,1063652
KIMS,2024-08-16,2250.4,2336,2246.2,2312.45,108837
SAKHTISUG,2024-08-16,37.55,38.62,36.92,37.82,517991
TEXMOPIPES,2024-08-16,72.85,75.58,71.11,72.76,187727
ASHOKLEY,2024-08-16,249.05,256.9,248.5,255.95,11252720
MATRIMONY,2024-08-16,608.35,614.8,607.75,611.95,9101
SETFNIFBK,2024-08-16,509.02,514.6,507.99,513.64,39696
OLECTRA,2024-08-16,1659.1,1663.7,1600,1608.4,700210
RAYMOND,2024-08-16,1842.2,1906,1837.05,1849.85,189361
ADROITINFO,2024-08-16,16.87,17.95,16.32,16.82,45625
ABGSEC,2024-08-16,101.85,101.85,101.38,101.85,38
GODREJIND,2024-08-16,897.65,918,891.05,905.65,144855
HEALTHIETF,2024-08-16,141.78,141.78,140.16,141.13,25135
KANANIIND,2024-08-16,3.04,3.11,3,3.01,1123053
KHAICHEM,2024-08-16,86.52,89.9,84.55,85.43,3167988
NETF,2024-08-16,255.16,261.79,255,261.04,3308
TVSSCS,2024-08-16,188.74,193.3,186.11,189.39,957432
BHEL,2024-08-16,293,297.65,289.3,296.55,10118811
COLPAL,2024-08-16,3471,3540.85,3471,3534.65,414583
INFOBEAN,2024-08-16,409.2,419.55,409.2,413.8,13893
LOYALTEX,2024-08-16,637,637,582.25,597.65,2593
MAXHEALTH,2024-08-16,870.5,892,869.95,885.15,785855
NAVA,2024-08-16,924.55,946.55,923.05,930.55,326421
NAVINFLUOR,2024-08-16,3250,3332.85,3246.85,3324.9,156142
RCOM,2024-08-16,1.97,2.03,1.97,2.03,7195253
RUPA,2024-08-16,299.5,305,299.5,302.6,267995
SHYAMMETL,2024-08-16,736.65,740,706,711.1,1376789
SUNTECK,2024-08-16,589.45,599,584,587.8,298978
TCIEXP,2024-08-16,1058.45,1060,1023,1045.9,90484
JMA,2024-08-16,106,107.96,105.55,105.95,18194
MAFANG,2024-08-16,94.99,95.55,94.32,95.32,391278
PTL,2024-08-16,44.45,44.8,44.02,44.2,82015
TATAPOWER,2024-08-16,408.9,414.35,406.75,413.65,8273268
UTIAMC,2024-08-16,1050,1076,1036,1040.85,161155
BSLNIFTY,2024-08-16,27.71,28.2,27.65,28.11,277216
CENTUM,2024-08-16,1487.05,1569.9,1487.05,1560.85,8476
EXIDEIND,2024-08-16,490.1,497.5,488.95,495.7,2432843
HCG,2024-08-16,356.7,358.2,353.1,356,185788
HERITGFOOD,2024-08-16,550,553.65,543,546.6,366085
JHS,2024-08-16,22.65,23,21.51,22.1,389712
KARMAENG,2024-08-16,79.05,82.49,79.02,80.4,7997
RELTD,2024-08-16,69.3,70.86,66.01,69.16,55269
ELGIRUBCO,2024-08-16,95.24,95.24,95.24,95.24,26058
RVHL,2024-08-16,50,50,47.26,49.17,99283
SASTASUNDR,2024-08-16,313,318,307.95,310.8,23544
TPHQ,2024-08-16,1.44,1.47,1.38,1.39,1977409
UNIVCABLES,2024-08-16,679.9,694.05,664.2,668.65,56664
FIRSTCRY,2024-08-16,640,688,636.1,669.9,8853277
COMPUSOFT,2024-08-16,29.45,29.47,28.92,29.04,61691
DELPHIFX,2024-08-16,208,213,202.02,205.93,2081
RELAXO,2024-08-16,789.3,792.9,770.95,778,130443
SHANTIGEAR,2024-08-16,581.65,592,573.75,586.45,31120
SUPREMEIND,2024-08-16,5209.6,5280,5190.05,5259.85,25333
UNIINFO,2024-08-16,39.61,40.89,38,38.36,45374
AARTISURF,2024-08-16,620.1,636.8,620.1,633.05,10153
ACE,2024-08-16,1245,1280,1245,1264.05,256453
ASTRAL,2024-08-16,1878,1911.15,1861.65,1889.5,816779
ISEC,2024-08-16,805.95,826.95,796.55,800.05,449962
ITDCEM,2024-08-16,560,567.75,540.2,542.7,1161848
LUPIN,2024-08-16,2092.25,2112.5,2079,2086.05,1346775
PATINTLOG,2024-08-16,23.4,23.68,23.1,23.44,240651
RISHABH,2024-08-16,379.9,387.3,374.35,376.6,159244
SPIC,2024-08-16,85.99,89.77,85.62,87.68,3061595
DRREDDY,2024-08-16,6831.05,6848.95,6758.15,6793.6,513132
LT,2024-08-16,3578,3580.9,3533,3568.35,2808865
LXCHEM,2024-08-16,268.15,274.7,266.15,271.25,2781379
REGENCERAM,2024-08-16,55.3,55.32,50.05,52.87,3264
SCHNEIDER,2024-08-16,800.95,832,800.1,823.4,219213
UCOBANK,2024-08-16,50.4,50.85,50.05,50.68,3238713
ZEEL,2024-08-16,134.75,136.47,134.08,134.41,6258945
AETHER,2024-08-16,902.7,911.45,895.1,902.8,43663
HLEGLAS,2024-08-16,408.55,411,405,407.8,41872
IPCALAB,2024-08-16,1369.8,1369.8,1314.1,1337.95,452124
SHIVAMAUTO,2024-08-16,49.93,52.42,47.75,52.42,351511
SUPRIYA,2024-08-16,506,517.95,501.4,509.9,267325
TARAPUR,2024-08-16,14,14.23,12.89,14.23,188258
ASIANTILES,2024-08-16,78.4,80.79,77.37,79.74,1912195
ICIL,2024-08-16,365,389.4,362.55,378.3,474070
LINDEINDIA,2024-08-16,7163,7299,7030,7207.3,135156
PRUDENT,2024-08-16,2680,2714.95,2528,2549.65,262403
SIGIND,2024-08-16,75.5,75.56,71.1,71.49,151248
SUNPHARMA,2024-08-16,1749.6,1751.15,1728.65,1742.75,2180718
BALKRISIND,2024-08-16,2794.95,2837.7,2786.3,2832.55,155757
BHARATGEAR,2024-08-16,107.7,108.78,107.26,107.77,13808
CINELINE,2024-08-16,119.9,126,116.81,123.06,53199
DCW,2024-08-16,75.5,78,72,77.65,6371771
DREAMFOLKS,2024-08-16,448,449.95,441.5,443.2,147756
GREENPANEL,2024-08-16,350,356.95,346.2,353.05,92930
